oldName,newName,file,line,isExported,numReferences
_esc,escapeHtmlEntities,./api/line-diff.js,6,N,5
alBuildSegments,buildConversationSegments,./web-shared/jfred-alllines.js,82,N,3
alContentLabel,formatJsonlLineContentPreview,./web-shared/jfred-alllines.js,33,N,5
aliasPathValidAt,isAliasPathValidAtTimestamp,./api/alias-windows.js,88,Y,9
alLineLabel,formatJsonlLineLabel,./web-shared/jfred-alllines.js,57,N,3
allPathsForFile,resolveAllPathsForFile,./api/file-path-history.js,96,N,3
alRenderBranch,renderRewindBranch,./web-shared/jfred-alllines.js,178,N,3
alRenderRow,renderJsonlLineRow,./web-shared/jfred-alllines.js,123,N,2
alRenderSegment,renderConversationSegment,./web-shared/jfred-alllines.js,155,N,2
alRenderSegments,renderAllSegmentsToHtml,./web-shared/jfred-alllines.js,172,N,6
alRenderWithBranches,renderSegmentsWithRewindBranches,./web-shared/jfred-alllines.js,218,N,2
alSegEditBadges,collectSegmentFileEditBadges,./web-shared/jfred-alllines.js,134,N,2
alSegLabel,formatConversationSegmentLabel,./web-shared/jfred-alllines.js,71,N,2
alSubtype,classifyJsonlLineSubtype,./web-shared/jfred-alllines.js,8,N,5
alToolName,extractToolUseNameFromLine,./web-shared/jfred-alllines.js,46,N,2
anyAliasPathEndsWith,hasAliasPathEndingWith,./tools/probe-v2-assembly.js,49,N,3
anyAliasPathEndsWith,hasAliasPathEndingWith,./api/file-historical-lineage.js,219,N,2
anyTranscriptResolvesRepo,hasTranscriptResolvingRepo,./tools/spike-item16-list2-notfound-yield.js,38,N,2
attachFlat,collectFlatNodes,./viewer/viewer-tree-render.js,61,N,3
authoredEntryFor,buildAuthoredReportEntry,./tests/test-probe-v2-report.js,50,N,4
authoredEventsFromKeptEdits,extractAuthoredEvents,./api/file-events-extractors.js,106,Y,6
authoredKindForEdit,classifyAuthoredKindForEdit,./api/file-events-extractors.js,79,N,2
authoredRefFor,buildAuthoredRef,./tests/test-edit-splice.js,21,N,13
bashOpEventsForFile,extractBashOpEvents,./api/bash-op-events.js,77,Y,8
bashReadEventsForFile,extractBashReadEvents,./api/bash-read-events.js,104,Y,9
batchVerify,verifyAllJsonlFilesAgainstDisk,./api/replay-verification.js,258,Y,11
beliefWithLines,buildBeliefFromLines,./tests/test-line-belief.js,14,N,10
beliefWithLines,buildBeliefFromLines,./tests/test-edit-splice.js,14,N,13
beliefWithLines,buildBeliefFromLines,./tests/test-final-line-verdict.js,13,N,5
bindClick,bindClickHandler,./web-shared/jfred-steps.js,104,N,6
btns,renderActionButtons,./viewer/viewer-tree-render.js,29,N,3
buildChips,buildFilterBarChips,./web-shared/jfred-filter.js,45,N,2
buildDeleteJsonl,buildDeleteJsonlFixture,./tests/test-scenario-reconstruction-engines.js,72,N,2
buildGitOpts,buildGitRepoAndBranchOptions,./api/replay-verification.js,177,N,2
