oldName,needsRename,newName
_esc,Y,escapeHtmlEntities
activateFilter,N,activateFilter
adaptUnifiedSteps,N,adaptUnifiedSteps
addDirectedEdge,N,addDirectedEdge
addEditToggle,N,addEditToggle
addJumpLinks,N,addJumpLinks
addRenamePair,N,addRenamePair
addTargetPaths,N,addTargetPaths
alBuildSegments,Y,buildConversationSegments
alContentLabel,Y,formatJsonlLineContentPreview
aliasPathValidAt,Y,isAliasPathValidAtTimestamp
alLineLabel,Y,formatJsonlLineLabel
allPathsForFile,Y,resolveAllPathsForFile
alRenderBranch,Y,renderRewindBranch
alRenderRow,Y,renderJsonlLineRow
alRenderSegment,Y,renderConversationSegment
alRenderSegments,Y,renderAllSegmentsToHtml
alRenderWithBranches,Y,renderSegmentsWithRewindBranches
alSegEditBadges,Y,collectSegmentFileEditBadges
alSegLabel,Y,formatConversationSegmentLabel
alSubtype,Y,classifyJsonlLineSubtype
alToolName,Y,extractToolUseNameFromLine
analyzeJSONL,N,analyzeJSONL
analyzeRewinds,N,analyzeRewinds
analyzeTurns,N,analyzeTurns
anyAliasPathEndsWith,Y,hasAliasPathEndingWith
anyTranscriptResolvesRepo,Y,hasTranscriptResolvingRepo
appendAgentJsonlsForProject,N,appendAgentJsonlsForProject
appendAgentJsonlsForSessionDir,N,appendAgentJsonlsForSessionDir
appendBashFileOpSteps,N,appendBashFileOpSteps
appendBashOpTouches,N,appendBashOpTouches
appendCatSteps,N,appendCatSteps
appendConflictRecords,N,appendConflictRecords
appendDiffEntry,N,appendDiffEntry
appendEditSteps,N,appendEditSteps
appendEditTouches,N,appendEditTouches
appendFilteredReadEdits,N,appendFilteredReadEdits
appendHunkContext,N,appendHunkContext
appendJumpButton,N,appendJumpButton
appendReadSteps,N,appendReadSteps
appendReadTouches,N,appendReadTouches
appendResultTouches,N,appendResultTouches
appendRmTouches,N,appendRmTouches
appendSnapshotRecordEvents,N,appendSnapshotRecordEvents
appendSnapshotSteps,N,appendSnapshotSteps
appendTranscriptEdits,N,appendTranscriptEdits
applyAbsenceObservation,N,applyAbsenceObservation
applyAndAccountForDrift,N,applyAndAccountForDrift
applyArg,N,applyArg
applyCliArg,N,applyCliArg
applyCreateOrUpdate,N,applyCreateOrUpdate
applyEditEvent,N,applyEditEvent
applyEditToBelief,N,applyEditToBelief
applyEventGroup,N,applyEventGroup
applyFileAbsent,N,applyFileAbsent
